CosThetajj	Ejj	Emu	EventWeight	Mmiss	PTjj	PTmiss	PTmu
-0.969959646133	245.054007452	46.7892117622	259.30128	77.9745233718	56.4920166587	66.3756568048	15.8587057254
-0.83380590266	248.395006344	52.4568493337	259.30128	34.3399654529	129.828922984	122.701332849	29.9939684997
-0.992408995981	249.718715202	167.760348673	259.30128	5.13599495847	29.1299125763	42.716838543	32.1577372209
-0.989949579844	248.555873451	116.146114669	259.30128	26.4750216336	33.2259389182	34.427750138	50.8059463246
-0.974398956722	248.944045945	18.7768196419	259.30128	15.2115097655	52.9151689342	39.3995826766	18.7535791543
-0.923283447391	248.352267342	120.281737402	259.30128	28.6700594521	90.4578607423	74.7072780942	40.5345132071
-0.647442536506	88.3786742357	201.89608132	259.30128	111.057012264	27.0432735065	10.7197461479	23.2032998456
-0.999432676454	235.255770074	45.953276789	259.30128	94.9761111011	7.44469888414	43.3682443661	35.9309148407
-0.759915249557	247.614312698	101.348679898	259.30128	42.2647382681	151.461804611	60.9536171643	90.5617261987
-0.975762105037	247.122183442	141.481794412	259.30128	35.314944989	51.0969461054	37.8029580059	57.6991278427
-0.969866964117	233.654267258	49.3799761454	259.30128	109.116100269	53.4053372886	32.2851212505	40.7658426783
-0.937044253185	251.153427737	83.4909508296	259.30128	9.16231501322	83.8671563238	31.762675136	54.7592410093
-0.98503541398	251.125001319	228.818995377	259.30128	14.7871035494	41.1499602613	7.17317661479	48.1869990034
-0.997048018007	244.658902228	181.636944174	259.30128	39.1322375259	17.7426789474	29.5758358648	47.2276261021
-0.97299492002	238.234977165	202.362948729	259.30128	43.7191730727	51.7453664438	36.4333388537	22.6142066279
-0.923498852775	230.798459976	190.693850933	259.30128	63.4475551203	83.2155316057	42.0431556106	59.7380813059
-0.848373344005	249.357704526	79.6331815417	259.30128	20.4247009399	125.098090076	85.6205394081	58.6585963062
-0.986324799206	250.293403681	31.379963493	259.30128	1.43084029398	39.1618447969	12.4303590854	26.7554034157
0.00174681529625	149.033263724	30.3030924711	259.30128	302.764910941	124.639385533	105.62747196	30.2701490458
-0.978295056024	251.193887303	175.877821574	259.30128	17.603995538	48.4659818437	21.4673705406	69.9331935708
-0.973088350333	155.635358441	211.438533408	259.30128	103.648691326	30.7454586693	26.3150776867	33.368016753
-0.813170323028	248.058283865	164.963516066	259.30128	21.66007345	136.66651825	62.9556422613	94.844624133
-0.999145993587	215.135149757	22.9476115739	259.30128	174.796215445	8.250776626	29.9121343846	21.9278784872
-0.96700827293	246.686409928	239.938112757	259.30128	7.61431785119	59.4151572231	9.52792103936	64.7740001189
-0.975776323315	247.724888022	29.3251829816	259.30128	30.6914242595	51.1996540039	46.4711264259	26.5358460791
-0.663618776553	244.111352586	39.319154457	259.30128	68.0743546796	172.484790823	170.187898339	11.2737303694
-0.982794054323	240.815512089	219.191953107	259.30128	28.7050732953	42.234319255	26.7746732825	30.402699141
-0.427403093147	251.584677047	194.732694945	259.30128	6.95928211189	209.161798385	21.1827252938	188.190912113
0.249244531107	102.692767831	85.0855389903	259.30128	306.702640247	62.415431635	22.3980704897	76.1684638773
-0.992348625905	252.675734939	206.355502226	259.30128	0.00539458833672	29.4014411646	27.9001999681	4.38749378629
-0.801147058885	249.89585828	57.5858965971	259.30128	19.3542771246	141.333806733	134.540907053	22.8396824355
-0.148394299788	249.500858602	69.8962692518	259.30128	10.4055864711	234.279953899	170.466792746	65.7974513977
-0.970569557575	237.596690841	139.638375217	259.30128	75.6916255804	53.5972185298	48.744656852	43.9304497902
0.996391392273	89.3522771216	52.2719922103	259.30128	344.179157033	4.69689462703	34.8850181428	35.4211952056
-0.948807551673	248.78349476	179.33590238	259.30128	19.09309294	74.3582064445	45.0654940408	54.9077336512
0.612584629076	253.356484735	192.457871078	259.30128	5.83976137866	189.953864622	35.9068748115	159.931070145
-0.701538439569	128.216471727	139.326800013	259.30128	223.202922251	71.7197411487	40.2165664688	68.0355708838
-0.974336230038	247.015631486	60.5559858325	259.30128	44.8487908777	52.5883577335	65.1971357855	30.6524463182
-0.926399866142	231.635220941	42.0904324958	259.30128	127.452317989	81.1541607475	65.8446806053	34.0985254913
-0.975127612574	249.763166196	167.964731833	259.30128	6.99018460654	52.4776054245	33.5556459455	62.0474774877
